,Answer.favoritechain1,Answer.favoritechain2,Answer.favoritechain3,Answer.favoritechain4,Answer.favoriteitem1,Answer.favoriteitem2,Answer.favoriteitem3,Answer.favoriteitem4,Answer.option1,Answer.option2,Answer.option3,Answer.option4
69,mcdonalds,taco bell,NOMATCH Steak n Shake,NOMATCH Long John Silvers,Chicken McNuggets,Hard Tacos,Double Steakburger,Super Sampler Platter,Ketchup,Fire Sauce,,Cocktail sauce
70,starbucks,taco bell,chick-fil-a,kfc,chicken fried rise,Noodles,BURGER KING,Arby's Roast Beef Sandwich,sauces fruit salad,pasta sauces,,
71,starbucks,mcdonalds,kfc,pizza hut,chicken stripes,french fries,chiken wings,chicken rolls,sauce,,tomota sause,
72,NOMATCH the habit grill,mcdonalds,burger king,wendys,charburger,mcchicken,burger,chili,,,,
73,taco bell,subway,arbys,mcdonalds,soft tocos,meatball sub,pizza slider,"mc rib (when they had them,havent ate from their since they quit selling them)",sour cream,,mc donalds,
74,NOMATCH pig minds,NOMATCH tom and jerrys,NOMATCH happy wok,NOMATCH noodles and company,buffalo soy based pasta bowl,mozzarella sticks,spicy egg fried rice,buffalo mac bowl,garlic bread,fries,soy sauce,extra buffalo
75,wendys,mcdonalds,chick-fil-a,burger king,spicy nuggets,regular nuggets,spicy chicken sandwhich,nuggets,,,bbq,
76,red lobster,jack in the box,wendys,cheesecake factory,Admiral's Feast,Bacon Ultimate Cheeseburger,Baconator,Oreo Cheesecake,,,,
77,taco bell,wendys,mcdonalds,burger king,Crunchwrap supreme,Jr Bacon Cheesburger,Chicken Mcnuggets,Whopper,,,Sweet and sour sauce,
78,wendys,NOMATCH Rosati's,raising canes,chick-fil-a,Grilled chicken sandwich,thin crust sausage and mushroom pizza,chicken strips,chicken nuggets,smoked honey mustard,,Raising Canes special sauce,chick-fil-a sauce
79,wendys,mcdonalds,burger king,chick-fil-a,Baconator,big mac,whopper,chicken sandwich,Extra bacon,big mac sauce,pickles,pickles
80,olive garden,chipotle,panda express,NOMATCH Jimmy Johns,Lasagna Fretta,Chipotle Bowl,Crispy Shrimp,The Veggie,,Tacos,Veggie Spring Roll,
81,chipotle,dairy queen,chick-fil-a,burger king,Burrito bowl,Footlong hotdog,12 piece Chicken nuggets,Original chicken sandwhich,,relish,Honey mustard,
82,NOMATCH 5 Guys,cheesecake factory,olive garden,wendys,Bacon Cheeseburger,Seafood Gumbo,Shrimp and Chicken Carbonara,Baconator,plain,rice on the side,hold red peppers,plain
83,chick-fil-a,chilis,NOMATCH Cracker Barrel,NOMATCH Longhorns,Spicy grilled chicken sandwich,Chips & Salsa,Grilled chicken tenderloins,Grilled shrimp,,,Grilled sourdough bread,
84,mcdonalds,jack in the box,in and out,burger king,coffee,ultimate cheeseburger,cheeseburger,Mozzarella Sticks,creamer,fries,animal style fries,Marinara Sauce
85,dominos,in and out,wendys,chick-fil-a,Pan pepperoni pizza,Plain hamburger,Plain hamburger,Garden salad,,,,
86,mcdonalds,starbucks,wendys,NOMATCH Dunkin,4 Piece Chicken McNuggets,Skinny Vanilla Latte,Maple Bacon Chicken Croissant,Fudge Croissant Donut,,,,
87,arbys,zaxbys,burger king,subway,beef and cheddar,kickin chicken sandwich,whopper,cold cut sub,none,none,none,sweet onion
88,chick-fil-a,dominos,NOMATCH Canes,NOMATCH Mr. Gattis,Chicken Minis,Pepperoni & Bacon Pizza,Box Combo,Cheese Sticks,,,,
89,chick-fil-a,NOMATCH Cookout,NOMATCH Giordanos,NOMATCH Faziolis,Mac and cheese,Cheese quesadilla,Deep dish pizza,Spaghetti,Polynesian sauce,Salt,Ranch,No
90,mcdonalds,five guys,burger king,NOMATCH Taco Mac,Fillet fish sandwich,Kosher hotdog.,Big Fish sandwich.,Veggie Burrito.,,French fries.,,
91,wendys,chick-fil-a,NOMATCH Wataburger,mcdonalds,6-piece nuggets,12-piece nuggets,Patty Melt,Big Mac,Sweet and sour sauce,Polynesian sauce,,BBQ Sauce
92,burger king,mcdonalds,taco bell,chick-fil-a,Double Bacon Whopper,Caramel Frappe,Beefy Burrito,Chick-fil-A Sandwich,cheese,extra whip cream,sour cream,cheese
93,NOMATCH Nandos,pf changs,five guys,mcdonalds,Grilled peri peri half chicken,Sesame chicken,Cheeseburger,Big tasty,"Xtra hot sauce, chips and slaw",Rice,"Milk shake, fries","Mil shake , friies"
94,in and out,mcdonalds,popeyes,burger king,double double,sausage mcmuffin with egg,The chicken sandwich,the whopper,none,extra hashbrown,no,no
95,popeyes,mcdonalds,bonefish grill,NOMATCH Moes southwest grill,Chicken sandwich,Quarter pounder,Bang bang shrimp,Tofu quesadilla,,,,
96,wendys,mcdonalds,taco bell,chipotle,Double Burger,McDouble,Chalupa Supreme,Steak Burrito,no,no,no,no
97,burger king,mcdonalds,wendys,kfc,Whopper,Big Mac,Bacon Cheeseburger,Fried Chicken,,,,
98,chipotle,taco bell,burger king,sonic,Chicken bowl,Chipotle Chicken,Jalepeno poppers,Ocean Water,Guacomole,,ranch,none
99,taco bell,wendys,mcdonalds,burger king,Soft Taco,Spicy Chicken Sandwich,Filet-O-Fish Sandwich,Original Chicken Ssndwich,Spicy sauce,,,
